#angle	nofilt	angle error	nofilterr	filt	angle error	filterr
28	12	0.125	7.85269342	3	0.125	6.767828936
28.5	38	0.125	9.8556546	1	0.125	6.16227766
29	73	0.125	11.06782884	6	0.125	5.552692768
29.5	18	0.125	7.645751311	7	0.125	6.387408698
30	15	0.125	7.032065438	8	0.125	6.19114713
30.5	13	0.125	7.41100282	0	0.125	5.656854249
31	11	0.125	8.504530761	3	0.125	7.605551275
31.5	6	0.125	6.251302587	6	0.125	6.251302587
32	16	0.125	7.139905503	5	0.125	5.766114533
32.5	42	0.125	10.59673468	20	0.125	8.884389153
33	12	0.125	8.112456314	4	0.125	7.189608137
33.5	8	0.125	7.404918347	6	0.125	7.16227766
34	12	0.125	7.30056308	4	0.125	6.29252874
34.5	10	0.125	7.634413615	8	0.125	7.404918347
