350.00	172.96
351.00	132.72
352.00	135.47
353.00	173.80
354.00	184.99
355.00	181.58
356.00	156.59
357.00	150.94
358.00	138.69
359.00	135.52
360.00	138.34
361.00	175.61
362.00	151.20
363.00	172.71
364.00	136.47
365.00	126.59
366.00	179.13
367.00	191.99
368.00	177.94
369.00	151.91
370.00	133.03
371.00	113.86
372.00	194.56
373.00	151.18
374.00	135.39
375.00	159.79
376.00	156.49
377.00	148.71
378.00	301.85
379.00	171.94
380.00	170.66
381.00	210.38
382.00	169.08
383.00	151.39
384.00	134.25
385.00	143.22
386.00	140.59
387.00	139.76
388.00	175.09
389.00	315.09
390.00	153.81
391.00	145.18
392.00	131.99
393.00	166.50
394.00	141.29
395.00	269.23
396.00	138.46
397.00	150.00
398.00	155.66
399.00	250.14
400.00	157.39
401.00	174.30
402.00	137.28
403.00	146.33
404.00	156.15
405.00	154.03
406.00	144.25
407.00	161.93
408.00	196.74
409.00	160.87
410.00	169.67
411.00	437.74
412.00	185.36
413.00	140.61
414.00	162.48
415.00	153.71
416.00	140.03
417.00	171.16
418.00	173.01
419.00	167.89
420.00	240.68
421.00	148.35
422.00	157.52
423.00	174.99
424.00	216.08
425.00	183.34
426.00	147.84
427.00	187.48
428.00	170.99
429.00	189.98
430.00	285.40
431.00	158.46
432.00	191.81
433.00	176.31
434.00	142.47
435.00	143.77
436.00	161.12
437.00	180.84
438.00	143.14
439.00	151.62
440.00	148.73
441.00	210.35
442.00	134.38
443.00	154.94
444.00	179.76
445.00	137.44
446.00	146.81
447.00	164.31
448.00	223.40
449.00	188.89
450.00	163.38
451.00	147.45
452.00	172.44
453.00	152.39
454.00	153.31
455.00	202.38
456.00	134.26
457.00	149.56
458.00	180.88
459.00	147.13
460.00	153.42
461.00	145.44
462.00	153.97
463.00	152.06
464.00	130.15
465.00	178.06
466.00	152.97
467.00	130.62
468.00	139.24
469.00	143.29
470.00	90.90
471.00	96.69
472.00	190.52
473.00	165.71
474.00	131.65
475.00	176.36
476.00	137.28
477.00	169.93
478.00	138.63
479.00	260.62
480.00	170.14
481.00	136.41
482.00	177.03
483.00	157.59
484.00	187.06
485.00	171.20
486.00	132.56
487.00	165.35
488.00	175.99
489.00	177.43
490.00	170.89
491.00	184.99
492.00	166.56
493.00	157.64
494.00	151.99
495.00	143.98
496.00	151.18
497.00	194.53
498.00	166.69
499.00	199.10
500.00	303.15
501.00	145.71
502.00	145.47
503.00	294.82
504.00	153.49
505.00	169.19
506.00	154.12
507.00	148.49
508.00	191.58
509.00	140.01
510.00	204.88
511.00	156.33
512.00	169.48
513.00	139.05
514.00	133.15
515.00	156.52
516.00	162.43
517.00	165.27
518.00	219.10
519.00	165.94
520.00	167.40
521.00	139.75
522.00	204.26
523.00	171.71
524.00	151.02
525.00	136.09
526.00	158.99
527.00	143.73
528.00	151.78
529.00	165.09
530.00	198.62
531.00	150.79
532.00	143.63
533.00	168.33
534.00	243.52
535.00	148.44
536.00	156.35
537.00	154.73
538.00	222.56
539.00	173.47
540.00	196.81
541.00	164.19
542.00	482.91
543.00	145.46
544.00	151.01
545.00	162.56
546.00	141.69
547.00	228.04
548.00	177.17
549.00	241.74
550.00	181.68
551.00	159.92
552.00	221.50
