#angle	nofilt	angle error	nofilterr	filt	angle error	filterr
0.0005	7.741	0.45
0.001	6.611	0.45
0.002	5.947	0.45
0.003	5.349	0.45
0.004	4.817	0.45
0.005	4.269	0.45
0.006	3.870	0.45
0.007	3.472	0.45
0.008	3.106	0.45
0.009	2.807	0.45
0.010	2.575	0.45
0.015	1.654	0.45
0.02	1.08	0.45
0.0225	0.8571	0.45
