#angle	nofilt	angle error	nofilterr	filt	angle error	filterr
0.0001	-6.457	0.45	6.457	0.45
0.001	-6.772	0.45	6.772	0.45
0.005	-4.724	0.45	4.724	0.45
0.01	-2.667	0.45	2.667	0.45
0.015	-1.102	0.45	1.102	0.45
0.02	1.22	0.45	1.22	0.45
0.03	2.992	0.45	2.992	0.45
0.04	4.528	0.45	4.528	0.45
0.05	5.512	0.45	5.512	0.45
0.06	6.142	0.45	6.142	0.45
