  4479.253  9.6325e-01  7.9638e-02  3.6799e-04  1.6358e-02  1.2901e-03  4.5006e-04
  4479.283  9.4972e-01  8.0535e-02  2.7034e-03  1.5572e-02  1.2234e-03  4.4646e-04
  4479.312  9.6302e-01  8.0216e-02  1.0610e-03  1.3080e-02  1.0399e-03  3.2606e-04
  4479.342  9.8881e-01  8.2482e-02  1.2276e-03  1.6241e-02  1.2709e-03  4.8365e-04
  4479.372  9.6787e-01  8.1065e-02  1.5846e-03  1.6333e-02  1.2802e-03  4.7889e-04
  4479.401  9.7780e-01  8.1979e-02  1.6973e-03  1.3360e-02  1.0601e-03  3.4143e-04
  4479.431  9.8702e-01  8.2422e-02  1.3315e-03  1.5303e-02  1.2041e-03  4.3145e-04
  4479.461  9.0886e-01  7.8637e-02  4.4097e-03  1.6454e-02  1.2980e-03  4.5126e-04
  4479.490  9.6607e-01  8.0857e-02  1.5177e-03  1.3843e-02  1.0954e-03  3.6616e-04
  4479.520  9.5308e-01  7.9970e-02  1.7314e-03  1.4136e-02  1.1171e-03  3.8002e-04
  4479.550  9.8742e-01  8.2952e-02  1.9109e-03  1.6503e-02  1.3056e-03  4.3774e-04
  4479.579  9.4682e-01  7.9740e-02  2.0636e-03  1.4565e-02  1.1485e-03  4.0087e-04
  4479.609  9.6114e-01  8.0509e-02  1.5880e-03  1.3442e-02  1.0668e-03  3.4245e-04
  4479.639  9.7775e-01  8.2600e-02  2.4288e-03  1.6264e-02  1.2870e-03  4.3020e-04
  4479.668  9.3687e-01  7.8274e-02  1.3142e-03  1.5282e-02  1.2047e-03  4.2201e-04
  4479.698  9.5920e-01  8.0423e-02  1.6746e-03  1.2995e-02  1.0316e-03  3.2999e-04
  4479.727  9.3433e-01  7.9328e-02  2.7822e-03  1.5724e-02  1.2370e-03  4.4386e-04
  4479.757  9.6043e-01  7.9572e-02  5.7020e-04  1.5842e-02  1.2447e-03  4.5309e-04
  4479.787  9.6337e-01  8.0959e-02  1.9014e-03  1.3314e-02  1.0435e-03  3.9032e-04
  4479.817  9.8046e-01  8.1119e-02  4.5380e-04  1.5249e-02  1.1973e-03  4.3924e-04
  4479.846  9.7906e-01  8.3630e-02  3.5039e-03  1.6420e-02  1.2954e-03  4.4966e-04
  4479.876  9.8150e-01  8.2072e-02  1.4623e-03  1.3722e-02  1.0876e-03  3.5548e-04
