1402215554	12.9359643438	0.00980571561379	0.292073580106	0.0225784156746	2014-06-07T22:19:14	coj	152179.861914 +/- 725.396627769	90519.6619141 +/- 694.375451451
1402216419	13.3197624284	0.0115612090796 	0.35457972978 	0.0266205746301	2014-06-07T22:33:39	coj	112276.487695 +/- 777.333449052	95102.9064453 +/- 769.402656134
1402216450	13.3154617483	0.0110318018308 	0.338233682311	0.0254015736521	2014-06-07T22:34:10	coj	116910.639453 +/- 770.964120943	98636.7457031 +/- 762.451896536
1402163738	13.232158026 	0.0112695691488 	0.343361946375	0.0259490512205	2014-06-07T07:55:38	cpt	101939.352026 +/- 659.01811117 	79653.5395264 +/- 646.827978175
1401128920	14.3504902711	0.0845288089015 	2.79309468603 	0.194634094953 	2014-05-26T08:28:40	cpt	7940.34147949 +/- 561.242157648	17379.4203857 +/- 567.216853364
1401129471	14.524849207 	0.0970479539175 	3.24572848127 	0.22346039088  	2014-05-26T08:37:51	cpt	6813.61363525 +/- 566.691837592	17511.2515259 +/- 573.394112906
1402187278	13.4928887382	0.013644844559  	0.423923705228	0.0314183058537	2014-06-07T14:27:58	elp	80274.8727539 +/- 711.150265552	79750.8133789 +/- 710.887031863
1403576095	13.98032213  	0.00793792310208	0.2555287406  	0.0182777434042	2014-06-23T16:14:55	lsc	129502.242188 +/- 783.233756057	201560.828125 +/- 827.957534616
1403747991	14.1183080748	0.00767431446682 	0.0				0.0				2014-06-25T15:59:51	lsc	32613.6933594 +/- 752.680658757	122060.992188 +/- 809.923242315



//1403747991	14.932942301 	0.0260724466219 	0.896484660238	0.0600340269296	2014-06-25T15:59:51	lsc	32613.6933594 +/- 752.680658757	122060.992188 +/- 809.923242315
